Latitude,Longitude,Voivodeship
52.9910322,18.5447109,Kujawsko-pomorskie
50.5093565,18.2863477,Opolskie
50.6559301,18.3858667,Opolskie
50.960462,17.7636219,Opolskie
52.6048558,15.9133809,Wielkopolskie
50.594872,17.3826001,Opolskie
50.7148169,17.9943016,Opolskie
50.3787298,17.9980997,Opolskie
53.4622769,14.7716544,Zachodniopomorskie
50.001723,18.9862867,Śląskie
51.9790052,17.8625392,Wielkopolskie
50.6694042,18.0725372,Opolskie
50.6360434,17.8147124,Opolskie
51.4748407,16.9047845,Dolnośląskie
50.2419393,18.0472073,Opolskie
52.5555923,16.0844792,Wielkopolskie
51.4376254,21.0086035,Mazowieckie
50.3171578,18.1307499,Opolskie
51.3734933,18.43362,Łódzkie
52.6206996,21.0190351,Mazowieckie
52.1801926,18.6345869,Wielkopolskie
51.9607826,14.725727,Lubuskie
51.6014828,15.1673735,Lubuskie
51.0780214,16.8923207,Dolnośląskie
51.6498524,16.1197203,Dolnośląskie
51.5866618,19.145393,Łódzkie
51.5865701,19.161777,Łódzkie
51.1712813,18.2874325,Łódzkie
52.3701501,16.8759664,Wielkopolskie
52.5136546,16.5744953,Wielkopolskie
52.58292,15.0071018,Lubuskie
51.8927649,17.0092227,Wielkopolskie
51.8976268,17.009747,Wielkopolskie
52.0114116,16.5150215,Wielkopolskie
52.4522162,16.4001168,Wielkopolskie
52.7023561,16.5273692,Wielkopolskie
52.6519144,19.0416968,Kujawsko-pomorskie
51.3532426,21.1294195,Mazowieckie
51.9188523,16.5634463,Wielkopolskie
52.5616454,14.8020261,Lubuskie
51.9864051,15.3093499,Lubuskie
50.0548065,19.098016,Śląskie
52.4587533,14.8780806,Lubuskie
50.8515292,16.0120934,Dolnośląskie
51.2207381,19.5975489,Łódzkie
51.7436708,16.5224243,Dolnośląskie
52.7267462,22.7337013,Podlaskie
51.7118951,16.2416415,Lubuskie
51.5777631,17.9681408,Wielkopolskie
51.8714571,22.2003028,Lubelskie
53.078463,15.4897963,Zachodniopomorskie
52.3603472,17.1331236,Wielkopolskie
52.2381596,17.2654241,Wielkopolskie
53.6594054,17.3683109,Pomorskie
50.752693,20.6172886,Świętokrzyskie
51.8275192,19.1866186,Łódzkie
52.4785088,18.1658233,Wielkopolskie
52.3241621,16.1178781,Wielkopolskie
53.241821,17.6009587,Kujawsko-pomorskie
51.2244496,15.2819737,Dolnośląskie
53.7168956,16.6785585,Zachodniopomorskie
52.64647,16.08393,Wielkopolskie
52.2501411,16.8494504,Wielkopolskie
51.7518133,19.2083241,Łódzkie
